Quarterly figures are available in the 2.1.1 tab and annual figures are avaliable in the 2.1.2 tab.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"Note 1. Aggregate of individual solid fuels, gas, electricity and liquid fuels indices.",,,,,,,,,,,,,,,,
"Note 2. ULSP, ULSD & motor oil. Other fuels are as defined by ONS. See the Methodology tab for further details.",,,,,,,,,,,,,,,,
Note 3. ONS update the GDP Deflator on a regular basis.  As such the real terms price indices are subject to regular revisions to the whole series.,,,,,,,,,,,,,,,,
"             As the quarterly GDP deflator is used for months with a quarter, real price indices will be updated once a quarter's GDP deflator is available and are therefore less timely than the current price indices.",,,,,,,,,,,,,,,,
"Freeze panes are turned on. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt,W,F]",,,,,,,,,,,,,,,,
Please see the cover sheet for a proposed methodology change to this table,,,,,,,,,,,,,,,,
Source: Office for National Statistics (ONS),,,,,,,,,,,,,,,,
Year and dataset code row,Month,Current price indices: Solid fuels,Current price indices: Gas ,Current price indices: Electricity ,Current price indices: Liquid fuels,"Current price indices: Domestic fuels
[Note 1]","Current price indices: Motor fuel & oil
[Note 2]","Current price indices: All Items CPI 2010=100
",Real price indices: Solid fuels [Note 3],Real price indices: Gas [Note 3],Real price indices: Electricity [Note 3],Real price indices: Liquid fuels [Note 3],"Real price indices: Domestic fuels
[Note 1, 3]","Real price indices: Motor fuel & oil
[Note 2, 3]","Real price indices: All Items CPI 2010=100
[Note 3]",GDP Deflator     2010=100 [Note 3]
Dataset identifier code,,D7DW,D7DU,D7DT,D7DV,D7CH,D7EC,D7BT,,,,,,,,
2010,June,97.84335981838821,98.68073878627969,99.87195902688862,96.81112019623876,99.10141206675225,100.95419847328245,100.11185682326622,98,98.8,100,96.9,99.2,101.1,100.3,99.8607242339833
2010,July,96.93530079455167,98.68073878627969,99.87195902688862,95.01226492232216,98.97304236200254,100.28625954198473,99.88814317673376,96.9,98.7,99.9,95,99,100.3,99.9,100
2010,August,97.61634506242906,98.68073878627969,99.87195902688862,94.76696647587899,98.97304236200254,99.33206106870229,100.44742729306486,97.6,98.7,99.9,94.8,99,99.3,100.4,100
2010,September,98.07037457434734,98.68073878627969,99.87195902688862,94.52166802943582,98.97304236200254,98.4732824427481,100.44742729306486,98.1,98.7,99.9,94.5,99,98.5,100.4,100
2010,October,101.02156640181612,98.68073878627969,99.61587708066581,98.2011447260834,99.10141206675225,100.28625954198473,100.67114093959731,100.5,98.1,99.1,97.7,98.6,99.7,100.1,100.55710306406687
2010,November,101.58910329171398,98.68073878627969,99.61587708066581,101.55355682747343,99.22978177150192,101.90839694656488,101.00671140939596,101,98.1,99.1,101,98.7,101.3,100.4,100.55710306406687
2010,December,102.1566401816118,103.16622691292876,100.89628681177977,128.12755519215045,103.33761232349165,104.7709923664122,102.01342281879194,101.6,102.6,100.3,127.4,102.8,104.2,101.4,100.55710306406687
2011,January,103.06469920544836,104.089709762533,101.66453265044815,125.51103843008995,104.10783055198971,109.35114503816794,102.12527964205816,100.7,101.7,99.3,122.6,101.7,106.8,99.8,102.36768802228413
2011,February,103.9727582292849,104.48548812664909,103.20102432778488,119.78740801308258,104.74967907573811,110.87786259541986,102.9082774049217,101.6,102.1,100.8,117,102.3,108.3,100.5,102.36768802228413
2011,March,103.74574347332577,105.0131926121372,103.96927016645327,130.4170073589534,105.64826700898587,113.83587786259541,103.13199105145414,101.3,102.6,101.6,127.4,103.2,111.2,100.7,102.36768802228413
2011,April,104.08626560726448,105.0131926121372,103.96927016645327,135.6500408830744,105.90500641848524,115.55343511450383,104.25055928411633,102.2,103.1,102.1,133.2,104,113.5,102.4,101.81058495821726
2011,May,102.72417707150964,105.0131926121372,103.96927016645327,125.42927228127556,105.51989730423618,117.08015267175573,104.47427293064877,100.9,103.1,102.1,123.2,103.6,115,102.6,101.81058495821726
2011,June,102.49716231555051,105.0131926121372,103.96927016645327,128.69991823385118,105.51989730423618,116.22137404580153,104.36241610738254,100.7,103.1,102.1,126.4,103.6,114.2,102.5,101.81058495821726
2011,July,102.72417707150964,105.0131926121372,103.96927016645327,124.77514309076044,105.39152759948651,115.45801526717558,104.36241610738254,100.1,102.3,101.3,121.6,102.7,112.5,101.7,102.64623955431756
2011,August,102.83768444948922,106.86015831134566,104.99359795134444,120.11447260834017,106.6752246469833,116.22137404580153,104.92170022371363,100.2,104.1,102.3,117,103.9,113.2,102.2,102.64623955431756
2011,September,103.40522133938705,120.71240105540898,112.80409731113956,123.79394930498775,117.20154043645698,116.03053435114504,105.59284116331096,100.7,117.6,109.9,120.6,114.2,113,102.9,102.64623955431756
2011,October,109.08059023836549,122.42744063324538,114.46862996158774,123.22158626328698,118.87034659820281,115.7442748091603,105.70469798657717,105.6,118.5,110.8,119.2,115,112,102.3,103.34261838440113
2011,November,109.87514188422247,123.61477572559367,115.10883482714472,130.90760425183973,120.02567394094991,115.2671755725191,105.81655480984338,106.3,119.6,111.4,126.7,116.1,111.5,102.4,103.34261838440113
2011,December,110.10215664018162,123.61477572559367,115.10883482714472,131.39820114472607,120.02567394094991,114.59923664122138,106.37583892617448,106.5,119.6,111.4,127.1,116.1,110.9,102.9,103.34261838440113
2012,January,110.21566401816119,123.61477572559367,115.10883482714472,131.64349959116925,120.15404364569959,115.17175572519085,105.81655480984338,106.4,119.3,111.1,127,116,111.1,102.1,103.62116991643455
2012,February,109.53461975028378,122.42744063324538,113.70038412291935,134.096484055601,118.99871630295249,116.69847328244273,106.37583892617448,105.7,118.1,109.7,129.4,114.8,112.6,102.7,103.62116991643455
2012,March,109.98864926220206,121.89973614775727,112.41997439180538,136.38593622240393,118.35686777920411,119.27480916030535,106.71140939597315,106.1,117.6,108.5,131.6,114.2,115.1,103,103.62116991643455
2012,April,109.98864926220206,121.2401055408971,112.41997439180538,134.8323793949305,117.84338896020539,121.7557251908397,107.38255033557047,106,116.8,108.3,129.9,113.6,117.3,103.5,103.76044568245126
2012,May,107.71850170261068,121.2401055408971,112.29193341869399,127.30989370400654,117.45827984595634,118.03435114503817,107.27069351230425,103.8,116.8,108.2,122.7,113.2,113.8,103.4,103.76044568245126
2012,June,106.81044267877414,121.2401055408971,112.29193341869399,117.41618969746526,116.9448010269576,114.31297709923665,106.82326621923937,102.9,116.8,108.2,113.2,112.7,110.2,103,103.76044568245126
2012,July,107.15096481271284,121.2401055408971,112.29193341869399,120.35977105478331,117.07317073170731,113.16793893129771,106.93512304250558,102.9,116.4,107.8,115.5,112.4,108.6,102.6,104.17827298050139
