MSOA21CD,LAT,LONG,msoa21cd,ladnm,Eligible,In_Sample
E02001192,53.42850875854492,-2.180180072784424,E02001192,Stockport,0,1
E02001193,53.41954040527344,-2.164870023727417,E02001193,Stockport,1,1
E02001194,53.42210006713867,-2.1940600872039795,E02001194,Stockport,0,1
E02001195,53.42683029174805,-2.1185200214385986,E02001195,Stockport,0,1
E02001196,53.41735076904297,-2.0702099800109863,E02001196,Stockport,0,1
E02001197,53.41347122192383,-2.1783299446105957,E02001197,Stockport,0,1
E02001198,53.41011047363281,-2.109499931335449,E02001198,Stockport,1,1
E02001199,53.41196060180664,-2.2028698921203613,E02001199,Stockport,0,1
E02001200,53.41094970703125,-2.153830051422119,E02001200,Stockport,1,1
E02001201,53.40727996826172,-2.1340200901031494,E02001201,Stockport,0,1
E02001202,53.40285873413086,-2.169110059738159,E02001202,Stockport,1,1
E02001203,53.40188980102539,-2.0316898822784424,E02001203,Stockport,0,1
E02001204,53.40155029296875,-2.190700054168701,E02001204,Stockport,0,1
E02001205,53.400909423828125,-2.145940065383911,E02001205,Stockport,1,1
E02001206,53.39701843261719,-2.0811400413513184,E02001206,Stockport,0,1
E02001207,53.39337921142578,-2.1048901081085205,E02001207,Stockport,0,1
E02001208,53.39677047729492,-2.198349952697754,E02001208,Stockport,0,1
E02001209,53.392311096191406,-2.1595799922943115,E02001209,Stockport,0,1
E02001210,53.39162063598633,-2.126189947128296,E02001210,Stockport,1,1
E02001211,53.39291000366211,-2.233649969100952,E02001211,Stockport,0,1
E02001212,53.390628814697266,-2.174340009689331,E02001212,Stockport,1,1
E02001213,53.387149810791016,-2.141400098800659,E02001213,Stockport,0,1
E02001214,53.388248443603516,-2.2191500663757324,E02001214,Stockport,0,1
E02001215,53.383731842041016,-2.061389923095703,E02001215,Stockport,0,1
E02001216,53.381378173828125,-2.2013700008392334,E02001216,Stockport,0,1
E02001217,53.38179016113281,-2.119499921798706,E02001217,Stockport,0,1
E02001218,53.37527847290039,-2.1691200733184814,E02001218,Stockport,0,1
E02001219,53.37255096435547,-2.1344499588012695,E02001219,Stockport,0,1
E02001220,53.371768951416016,-2.201090097427368,E02001220,Stockport,0,1
E02001221,53.36880874633789,-2.1147499084472656,E02001221,Stockport,0,1
E02001222,53.37232971191406,-2.229449987411499,E02001222,Stockport,0,1
E02001223,53.368629455566406,-2.1506800651550293,E02001223,Stockport,0,1
E02001224,53.373111724853516,-2.0953900814056396,E02001224,Stockport,0,1
E02001225,53.361751556396484,-2.1919798851013184,E02001225,Stockport,0,1
E02001226,53.36507034301758,-2.2156898975372314,E02001226,Stockport,0,1
E02001227,53.3565788269043,-2.1777400970458984,E02001227,Stockport,0,1
E02001228,53.340858459472656,-2.168339967727661,E02001228,Stockport,0,1
E02001229,53.51816940307617,-2.040800094604492,E02001229,Tameside,0,0
E02001230,53.50983810424805,-2.0764100551605225,E02001230,Tameside,0,0
E02001231,53.50630187988281,-2.026360034942627,E02001231,Tameside,1,0
E02001232,53.49876022338867,-2.071810007095337,E02001232,Tameside,1,0
E02001233,53.50014114379883,-2.111109972000122,E02001233,Tameside,1,0
E02001234,53.49966812133789,-2.0885000228881836,E02001234,Tameside,1,0
E02001235,53.489139556884766,-2.0770299434661865,E02001235,Tameside,1,0
E02001236,53.48855972290039,-2.06030011177063,E02001236,Tameside,1,0
E02001237,53.4941291809082,-2.0064399242401123,E02001237,Tameside,1,0
E02001238,53.486690521240234,-2.129849910736084,E02001238,Tameside,0,0
E02001239,53.48297882080078,-2.15054988861084,E02001239,Tameside,1,0
