Borough,x,y,xend,yend
Bolton,368385.8849999998,404199.3530000001,368616.88999999966,404100.17200000025
Bolton,368616.88999999966,404100.17200000025,368679.682,404073.5510000009
Bolton,368677.4060000004,404045.5950000007,368679.682,404073.5510000009
Bolton,368677.4060000004,404045.5950000007,368837.32100000046,403997.9639999997
Bolton,368837.32100000046,403997.9639999997,368954.4040000001,404037.8120000009
Bolton,363001.4119999996,406722.1129999999,363005.8679999998,406677.7689999994
Bolton,362919.0619999999,406605.90699999966,363005.8679999998,406677.7689999994
Bolton,362919.0619999999,406605.90699999966,362927.4060000004,406440.5940000005
Bolton,362821.1869999999,406390.40699999966,362927.4060000004,406440.5940000005
Bolton,362821.1869999999,406390.40699999966,362825.6869999999,406289.0940000005
Bolton,362750.6869999999,406273.4059999995,362825.6869999999,406289.0940000005
Bolton,362725.4060000004,406206.7190000005,362750.6869999999,406273.4059999995
Bolton,362534.5,406161.5,362725.4060000004,406206.7190000005
Bolton,362534.5,406161.5,362556.0939999996,406095.2860000003
Bolton,362450.75,406059.5,362556.0939999996,406095.2860000003
Bolton,362450.75,406059.5,362477.3119999999,405986.9059999995
Bolton,362360.193,405852.6899999995,362477.3119999999,405986.9059999995
Bolton,362360.193,405852.6899999995,362373.5990000004,405813.78500000015
Bolton,362373.5990000004,405813.78500000015,362488.091,405860.63299999945
Bolton,362488.091,405860.63299999945,362558.1869999999,405788.0940000005
Bolton,362558.1869999999,405788.0940000005,362769.619,405788.2689999994
Bolton,362769.619,405788.2689999994,363016.0,405670.4059999995
Bolton,363016.0,405670.4059999995,363120.32749999966,405458.4949999992
Bolton,373580.31400000025,404729.693,373745.9413999999,404662.5274
Bolton,373745.9413999999,404662.5274,373873.3490000004,404606.3839999996
Bolton,371219.9060000004,405116.693,371345.8590000002,405087.8220000006
Bolton,371345.8590000002,405087.8220000006,371422.12600000016,405070.13299999945
Bolton,371422.12600000016,405070.13299999945,371490.0939999996,405058.1270000003
Bolton,371490.0939999996,405058.1270000003,371654.2450000001,405036.4780000001
Bolton,371654.2450000001,405036.4780000001,371801.4879999999,405027.5810000002
Bolton,371801.4879999999,405027.5810000002,371926.318,405012.273
Bolton,371926.318,405012.273,372048.9060000004,405005.7369999997
Bolton,372048.9060000004,405005.7369999997,372160.9689999996,404978.3420000002
